DOI,Aesthetic Metrics,Aesthetic Resolution,Aesthetic Tag,Aesthetic cleanup,Application Domain,Authors,Bibtex Key,Checked By,Cleaned-Up Venue,Collect,Constraints,Doubt,Drawing Dimensionality,Duplicate,Evaluation Methodology,Filled in by,Graph Feature Clean-up,Graph Features,Highlight,How Was the Optimization Achieved?,Keep,Last edited by,Last edited time,Number of Graphs,Optimization Approach,Optimization Approach cleaned,Optimization Level,Paper Type,Place,Place 1,Read By,Source,Title,Type Tag,URL,Venue,Visualization Type,Visualization Type cleanup,Year,|E| Range,|V| Range
10.1109/PacificVis52677.2021.00029,,,,,,"S. -H. Hong, and P. Eades, and M. Torkel",,Henry,IEEE Pacific Visualization Symposium,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 2:07 PM",,,,,,,,Henry,IEEE,GDot: Drawing Graphs with Dots and Circles,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438759,2021 IEEE 14th Pacific Visualization Symposium (PacificVis),,,2021,,
10.1109/TBDATA.2018.2869165,,,,,,"A. Perrot, and D. Auber",,Henry,IEEE Transactions on Big Data,,,No,,No,,Velitchko,,,No,,No,Velitchko Filipov,"September 30, 2025 2:28 PM",,,,,,,,Henry,IEEE,Cornac: Tackling Huge Graph Visualization with Big Data Infrastructure,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456550,IEEE Transactions on Big Data,,,2020,,
10.1109/PacificVis48177.2020.3756,"Edge Length Uniformity, Neighborhood Preservation, Stress",Drawing,Edge Length,,Agnostic,"M. K. Rahman, and M. Haque Sujon, and A. Azad",rahman_batchlayout_2020,Henry,IEEE Pacific Visualization Symposium,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time), Looking at Pictures",Velitchko,,Simple Graph,No,Layout Algorithm,Yes,Velitchko Filipov,"October 16, 2025 11:29 AM",15,"Heuristic (Barnes-Hut), Heuristic (FA2), Heuristic (Stochastic Gradient Descent), Heuristic (other)","Heuristic, Machine Learning",Layout,"Comparison, Evaluation, Method",,,Henry,IEEE,BatchLayout: A Batch-Parallel Force-Directed Graph Layout Algorithm in Shared Memory,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086287,2020 IEEE Pacific Visualization Symposium (PacificVis),Node-Link Diagram,Node-Link,2020,5999-114165372,4941-1564794
10.1109/TVCG.2022.3187425,"Crosslessness, Neighborhood Preservation, Node Non-overlap Degree, Node-to-edge Distance, Radial Stress, Stress",Drawing,"Edge Crossings, Overlap",Crossings,Agnostic,"M. Xue, and Y. Wang, and C. Han, and J. Zhang, and Z. Wang, and K. Zhang, and C. Hurter, and J. Zhao, and O. Deussen",xue_target_2023,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Computational (Aesthetic), User Study (Quantitative)",Velitchko,,Simple Graph,No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",4,Exact (Algorithm),Exact,Layout,Algorithm,,,Henry,IEEE,Target Netgrams: An Annulus-Constrained Stress Model for Radial Graph Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9814874,IEEE Transactions on Visualization and Computer Graphics,"Circular Layout, Node-Link Diagram, Radial",Node-Link,2023,170-4731,88-3324
10.1109/ASONAM49781.2020.9381332,,,,,,"H. C. Purchase, and N. Stirling, and D. Archambault",,Joey,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,,Yes,,No,,,,,No,,No,Henry Ehlers,"October 6, 2025 3:55 PM",,,,,,,,Henry,IEEE,"Proximity, Communities, and Attributes in Social Network Visualisation",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381332,2020 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),,,2020,,
10.1109/TVCG.2021.3114756,Crossing Number,Drawing,Edge Crossings,Crossings,"None, SQL (Queries)","S. di Bartolomeo, and M. Riedewald, and W. Gatterbauer, and C. Dunne",di_bartolomeo_stratisfimal_2022,"Henry, Sara",IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (RAM Usage), Computational (Run Time)","Sara, Velitchko",Clustered,Compound Graph,No,"Integer Linear Programming, Layout Algorithm",Yes,Diana Marin,"October 15, 2025 5:39 PM",468,Exact (ILP),Exact,Layout,"Algorithm, Comparison, Evaluation",,,"Henry, Sara",IEEE,STRATISFIMAL LAYOUT: A modular optimization model for laying out layered node-link network visualizations,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9556579,IEEE Transactions on Visualization and Computer Graphics,Layered Graph,Node-Link,2022,,10-110
10.1109/TopoInVis60193.2023.00008,"Centrality, Importance, Spectral, Symmetry, Triangle Density",Drawing,,,Agnostic,"P. Rosen, and M. Hajij, and B. Wang",rosen_homology-preserving_2023,Diana,Topological Data Analysis and Visualization,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Looking at Pictures, User Study (Quantitative)",Velitchko,,Simple Graph,No,"Layout Refinement, Node Aggregation",Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",,Exact (Algorithm),Exact,Drawing,Evaluation,,,Sara,IEEE,Homology-Preserving Multi-Scale Graph Skeletonization Using Mapper on Graphs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10363124,2023 Topological Data Analysis and Visualization (TopoInVis),"Node-Link Diagram, Straight-Line Node-Link Diagram",Node-Link,2023,,
10.1109/ICSTCC50638.2020.9259656,"Cluster Separating, Decluttering, Sparsity, Spatial Distance",Drawing,,,"Bioinformatics, Biology","L. Broască, and V. -M. Ancușa, and H. Ciocârlie",broasca_towards_2020,Henry,"International Conference on System Theory, Control and Computing",All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,"2D, 3D",No,"Case Study, Computational (Run Time)",Natkamon,,Simple Graph,No,Layout Algorithm,Yes,Henry Ehlers,"October 14, 2025 3:55 PM",1,Heuristic (other),,Layout,Method,,,Sara,IEEE,Towards a Hybrid Layout for Complex Networks Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9259656,"2020 24th International Conference on System Theory, Control and Computing (ICSTCC)",Node-Link Diagram,Node-Link,2020,"2,287",279
10.1109/VISUAL.2019.8933606,Overlap,Node,Overlap,,Agnostic,"T. Munz, and M. Burch, and T. v. Benthem, and Y. Poels, and F. Beck, and D. Weiskopf",munz_overlap-free_2019,Diana,IEEE Visualization Conference,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Number of Iterations), Looking at Pictures",Henry,Tree,Tree,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:41 PM",2,Heuristic (force-directed),Heuristic,Layout,Method,,,Sara,IEEE,Overlap-Free Drawing of Generalized Pythagoras Trees for Hierarchy Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8933606,2019 IEEE Visualization Conference (VIS),Other,Tree,2019,,30859-32426
10.1109/EIConRus49466.2020.9039464,,,,,,"A. A. Maksutov, and I. O. Zagoskin, and M. P. Uvarov, and A. Z. Akhmadov",,Henry,IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 5:33 PM",,,,,,,,Henry,IEEE,Application for Three-Dimensional Graph Data Visualization in VR,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9039464,2020 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (EIConRus),,,2020,,
10.1109/HPEC49654.2021.9622871,,,,,,"M. E. Franusich, and F. Franchetti",,Henry,IEEE High Performance Extreme Computing Conference,,,No,,No,,,,,No,,No,Henry Ehlers,"August 25, 2025 5:49 PM",,,,,,,,Henry,IEEE,Graph Embedding and Field Based Detection of Non-Local Webs in Large Scale Free Networks,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622871,2021 IEEE High Performance Extreme Computing Conference (HPEC),,,2021,,
10.1109/VIS54172.2023.00043,Edge Crossings,Edge,Edge Crossings,,Agnostic,"G. Jindal, and K. Karlapalem",jindal_simple_2023,Diana,IEEE Visualization and Visual Analytics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Qualitative),Velitchko,,Simple Graph,No,Interaction,Yes,Henry Ehlers,"October 13, 2025 3:09 PM",2,Other,,"Drawing, Interaction","Application, Method",,,Henry,IEEE,A Simple yet Useful Spiral Visualization of Large Graphs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10360896,2023 IEEE Visualization and Visual Analytics (VIS),"Node-Link Diagram, Spiral Layout",Node-Link,2023,27806-88234,4039-7624
10.1109/TVCG.2020.3016055,"Edge Crossings, Mental Map Preservation",Drawing,Edge Crossings,,Agnostic,"L. Angori, and W. Didimo, and F. Montecchiani, and D. Pagliuca, and A. Tappini",angori_hybrid_2022,Henry,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Computational (Aesthetic), Computational (Run Time)",Velitchko,,Simple Graph,No,"Layout Algorithm, Node Duplication",Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",,Exact (Algorithm),Exact,Layout,"Algorithm, Method",,,Henry,IEEE,"Hybrid Graph Visualizations With ChordLink: Algorithms, Experiments, and Applications",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9165928,IEEE Transactions on Visualization and Computer Graphics,"Chord Diagram, Hybrid, Straight-Line Node-Link Diagram",Hybrid,2022,,
10.1109/PacificVis48177.2020.4722,Mental Map Preservation,Drawing,,,Agnostic,"J. Kotlarek, and O. -H. Kwon, and K. -L. Ma, and P. Eades, and A. Kerren, and K. Klein, and F. Schreiber",kotlarek_study_2020,Henry,IEEE Pacific Visualization Symposium,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,"2D, 3D, VR/AR",No,"User Study (Qualitative), User Study (Quantitative)",Velitchko,,Simple Graph,No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",4,heuristic (FM3),Heuristic,Layout,"Comparison, Evaluation",,,Henry,IEEE,A Study of Mental Maps in Immersive Network Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086291,2020 IEEE Pacific Visualization Symposium (PacificVis),Node-Link Diagram,Node-Link,2020,78-6594,34-4941
10.1109/SEAI55746.2022.9832052,,,,,,"P. Bunmapob, and Y. Limpiyakorn",,Diana,IEEE International Conference on Software Engineering and Artificial Intelligence,,,No,,No,,,,,No,,No,Diana Marin,"August 26, 2025 3:21 PM",,,,,,,,Sara,IEEE,Exploring Defect Data with Network Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9832052,2022 IEEE 2nd International Conference on Software Engineering and Artificial Intelligence (SEAI),,,2022,,
10.1109/TPDS.2018.2869805,"Average Crossings Per Edge, Normalized Edge Length Variation",Drawing,"Edge Crossings, Edge Length",,Agnostic,"A. Arleo, and W. Didimo, and G. Liotta, and F. Montecchiani",arleo_distributed_2019,Henry,IEEE Transactions on Parallel and Distributed Systems,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,Yes,"Computational (Aesthetic), Computational (Run Time), Looking at Pictures",Velitchko,,Simple Graph,No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",43,"Heuristic (Multilevel Force-Directed), Heuristic (force-directed)",Heuristic,Layout,"Algorithm, Comparison",,,Henry,IEEE,A Distributed Multilevel Force-Directed Algorithm,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462766,IEEE Transactions on Parallel and Distributed Systems,Straight-Line Node-Link Diagram,Node-Link,2019,78 - 48232,34-16840
10.1109/TVCG.2019.2944619,"Edge Crossings, False Adjacencies",Edge,,,Agnostic,"J. X. Zheng, and S. Pawar, and D. F. M. Goodman",zheng_further_2021,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,Case Study,Natkamon,,Simple Graph,No,Edge Bundling,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",7,Heuristic (algorithm),Heuristic,Layout,Algorithm,,,Henry,IEEE,Further Towards Unambiguous Edge Bundling: Investigating Power-Confluent Drawings for Network Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8852738,IEEE Transactions on Visualization and Computer Graphics,Node-Link Diagram,Node-Link,2021,,
10.1109/TVCG.2020.3030371,,,,,,"T. Horak, and P. Berger, and H. Schumann, and R. Dachselt, and C. Tominski",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:28 PM",,,,,,,,Henry,IEEE,Responsive Matrix Cells: A Focus+Context Approach for Exploring and Editing Multivariate Graphs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9226461,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/TopoInVis57755.2022.00015,"Angular resolution, Continuity, Crossing Angle, Edge Crossings, Local Continuity Meta Criterion, Trustworthiness",Drawing,"Angular Resolution, Crossing Resolution, Edge Crossings",,Agnostic,"B. Doppalapudi, and B. Wang, and P. Rosen",doppalapudi_untangling_2022,Diana,Topological Data Analysis and Visualization,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Velitchko,,Simple Graph,No,Layout Algorithm,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",32,Exact (Algorithm),Exact,Layout,"Algorithm, Evaluation",,,Sara,IEEE,Untangling Force-Directed Layouts Using Persistent Homology,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9975809,2022 Topological Data Analysis and Visualization (TopoInVis),Straight-Line Node-Link Diagram,Node-Link,2022,89-15641,31-2896
10.1109/MCG.2023.3264244,Edge Crossings,Drawing,Edge Crossings,,Agnostic,"R. Ahmed, and P. Angelini, and M. A. Bekos, and G. D. Battista, and M. Kaufmann, and P. Kindermann, and S. Kobourov, and M. Nöllenburg, and A. Symvonis, and A. Villedieu, and M. Wallinger",ahmed_splitting_2023,Diana,IEEE Computer Graphics and Applications,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Velitchko,,Layered (2-layer),No,Vertex Splitting,Yes,Diana Marin,"October 15, 2025 5:12 PM",22,Heuristic (other),,Layout,Algorithm,,,Sara,IEEE,Splitting Vertices in 2-Layer Graph Drawings,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10093949,IEEE Computer Graphics and Applications,"Layered Graph, Node-Link Diagram",Node-Link,2023,2-658,3552
10.1109/IV56949.2022.00013,,,,,,"R. S. Vieira, and H. A. D. Do Nascimento, and J. M. Ferreira, and L. Foulds",,Diana,International Conference Information Visualisation,,,No,2D,No,"Computational (Aesthetic), Computational (Run Time)",Velitchko,,Simple Graph,No,Edge Bundling,No,Velitchko Filipov,"September 30, 2025 11:49 AM",,,,Drawing,,,,Henry,IEEE,Clustering Ensemble-based Edge Bundling to Improve the Readability of Graph Drawings,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10017796,2022 26th International Conference Information Visualisation (IV),,,2022,,
10.1109/TVCG.2018.2865265,"Hierarchical constraint, Topological constraint","Drawing, Group, Transition",,,Agnostic,"W. Köpp, and T. Weinkauf",kopp_temporal_2019,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Computational (Aesthetic), Computational (Run Time)",Natkamon,"Hierarchy, Tree","Hierarchical, Temporal, Tree",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:41 PM",,Heuristic (simulated annealing),Heuristic,Layout,Algorithm,,,Henry,IEEE,Temporal Treemaps: Static Visualization of Evolving Trees,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8443124,IEEE Transactions on Visualization and Computer Graphics,"Temporal, Treemap","Space-Filling, Storyline, Tree",2019,,
10.1109/IV.2019.00013,,,,,,"H. Sassa, and T. Itoh, and M. Yoshida",,"Henry, Sara",International Conference Information Visualisation,,,No,,No,,,,,No,,No,Henry Ehlers,"August 18, 2025 3:03 PM",,,,,,,,Henry,IEEE,3D Visualization of Network Including Nodes with Labels,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812066,2019 23rd International Conference Information Visualisation (IV),,,2019,,
10.1109/TVCG.2021.3114679,Layout Stability,Drawing,,,Agnostic,"D. Zhang, and E. Adar, and J. Hullman",zhang_visualizing_2022,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,User Study (Quantitative),Velitchko,Probabilistic,Uncertinity,No,Interaction,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",,Exact (Algorithm),Exact,Drawing,Application,,,Henry,IEEE,Visualizing Uncertainty in Probabilistic Graphs with Network Hypothetical Outcome Plots (NetHOPs),,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552465,IEEE Transactions on Visualization and Computer Graphics,Node-Link Diagram,Node-Link,2022,,
10.1109/ENERGYCon48941.2020.9236507,Flow Direction,Drawing,,,Power Grid,"J. J. John, and A. Beiranvand, and P. Cuffe",john_clustering_2020,Henry,IEEE International Energy Conference,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,Yes,2D,No,"Case Study, Looking at Pictures",Velitchko,Directed,Directed Edges,No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:31 PM",2,Heuristic (sugiyama),Heuristic,Layout,Algorithm,,,Henry,IEEE,Clustering Nodes in a Directed Acyclic Graph By Identifying Corridors of Coherent Flow,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9236507,2020 6th IEEE International Energy Conference (ENERGYCon),Straight-Line Node-Link Diagram,Node-Link,2020,179-420,118-145
10.1109/TVCG.2018.2798631,"Color Assignment, Coloring, Crossing Angle, Edge Crossings",Edge,"Crossing Resolution, Edge Crossings",,Agnostic,"Y. Hu, and L. Shi, and Q. Liu",hu_coloring_2014,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,Yes,"Comparison, User Study (Quantitative)",Velitchko,,Simple Graph,No,Edge Coloring,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",1,Exact (Algorithm),Exact,Drawing,Algorithm,,,Henry,IEEE,A Coloring Algorithm for Disambiguating Graph and Map Drawings,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8269823,IEEE Transactions on Visualization and Computer Graphics,Straight-Line Node-Link Diagram,Node-Link,2019,78,34
10.1109/InC457730.2023.10262840,,,,,,"M. Pobaru, and R. Gokulapriya",,Diana,IEEE International Conference on Contemporary Computing and Communications,,,No,,No,,,,,No,,No,Diana Marin,"August 21, 2025 2:58 PM",,,,,,,,Henry,IEEE,Node Overlapping Detection for Draggable Node-Based Applications,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10262840,2023 IEEE International Conference on Contemporary Computing and Communications (InC4),,,2023,,
10.1109/TVCG.2021.3114795,"Ambiguity Preservation, Consumed Ink, Distortion",Edge,,,Agnostic,"M. Wallinger, and D. Archambault, and D. Auber, and M. Nöllenburg, and J. Peltonen",wallinger_edge-path_2022,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Computational (Aesthetic), Computational (Run Time), Looking at Pictures",Velitchko,,Simple Graph,No,Edge Bundling,Yes,Velitchko Filipov,"October 15, 2025 1:30 PM",,Exact (Algorithm),Exact,Drawing,Algorithm,,,Sara,IEEE,Edge-Path Bundling: A Less Ambiguous Edge Bundling Approach,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9552919,IEEE Transactions on Visualization and Computer Graphics,Node-Link Diagram,Node-Link,2022,,
10.1109/TVCG.2020.3030446,,,,,,"A. Lee, and D. Archambault, and M. A. Nacenta",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,Yes,,No,,,,,No,,No,Natkamon Tovanich,"October 8, 2025 10:55 AM",,,,,,,,Henry,IEEE,The Effectiveness of Interactive Visualization Techniques for Time Navigation of Dynamic Graphs on Large Displays,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222301,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/TVCG.2019.2934805,"Edge-Edge Overlap, Node-edge occlusion, Smooth Transitions, Structure Preservation","Edge, Transition","Edge Crossings, Overlap",,Agnostic,"Y. Wang, and M. Xue, and Y. Wang, and X. Yan, and B. Chen, and C. -W. Fu, and C. Hurter",wang_interactive_2020,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Computational (Run Time)",Natkamon,,Simple Graph,No,Edge Bundling,Yes,Velitchko Filipov,"October 15, 2025 1:42 PM",3,Heuristic (optimization),Heuristic,Drawing,Algorithm,,,Henry,IEEE,Interactive Structure-aware Blending of Diverse Edge Bundling Visualizations,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8807234,IEEE Transactions on Visualization and Computer Graphics,Node-Link Diagram,Node-Link,2020,,
10.1109/TVCG.2019.2950932,,,,,,"H. Romat, and C. Appert, and E. Pietriga",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:26 PM",,,,,,,,Henry,IEEE,Expressive Authoring of Node-Link Diagrams With Graphies,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8889698,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/VISUAL.2019.8933682,,,,,,"P. Govyadinov, and T. Womack, and J. Eriksen, and D. Mayerich, and G. Chen",,Diana,IEEE Visualization Conference,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:18 PM",,,,,,,,Henry,IEEE,Graph-Assisted Visualization of Microvascular Networks,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8933682,2019 IEEE Visualization Conference (VIS),,,2019,,
10.1109/TVCG.2020.3030475,"Conjointness/Closeness, Edge Crossings, Edge Uniformity, Label Placement, Line Crossings, Metro-Line Crossings Minimization, Octilinearity, Path Monotonicity, Path Straightness, Planarity, Sparseness, Station Separation",Drawing,Edge Crossings,,Metro Maps,"B. Jacobsen, and M. Wallinger, and S. Kobourov, and M. Nöllenburg",jacobsen_metrosets_2021,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,,No,"Computational (Aesthetic), Computational (Run Time)",Natkamon,,"Hypergraph, Path Graph",No,Layout Algorithm,Yes,Diana Marin,"October 15, 2025 5:11 PM",4060,Heuristic (algorithm),Heuristic,Layout,Algorithm,,,Sara,IEEE,MetroSets: Visualizing Sets as Metro Maps,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9224192,IEEE Transactions on Visualization and Computer Graphics,Metro Map,Node-Link,2021,,
10.1109/TVCG.2022.3153895,"Contour Intersections, Edge Crossings, Edge Length, Minimum Angle, Normalized Edge Length Variation",Drawing,"Angular Resolution, Edge Crossings, Edge Length",,Agnostic,"Y. Zhou, and A. Rathore, and E. Purvine, and B. Wang",zhou_topological_2023,Diana,IEEE Transactions on Visualization and Computer Graphics,All Items (https://www.notion.so/All-Items-28801d52e4ad80efa045f64f76ffd1d9?pvs=21),,No,2D,No,"Case Study, Computational (Aesthetic)",Velitchko,,Hypergraph,No,"Hyperedge Collapse, Vertex Collapse",Yes,Diana Marin,"October 15, 2025 5:11 PM",5,Other,,Layout,Application,,,Henry,IEEE,Topological Simplifications of Hypergraphs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9721603,IEEE Transactions on Visualization and Computer Graphics,"Contour, Node-Link Diagram",Node-Link,2023,12-491,10-1316
10.1109/FOCS.2019.00056,,,,,,"V. Dujmovic, and G. Joret, and P. Micek, and P. Morin, and T. Ueckerdt, and D. Wood",,Sara,IEEE Annual Symposium on Foundations of Computer Science,,,No,,No,,,,,No,,No,Sara Di Bartolomeo,"August 18, 2025 4:10 PM",,,,,,,,Henry,IEEE,Planar Graphs have Bounded Queue-Number,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8948698,2019 IEEE 60th Annual Symposium on Foundations of Computer Science (FOCS),,,2019,,
10.1109/TVCG.2019.2906900,,,,,,"Y. Huang, and L. Shi, and Y. Su, and Y. Hu, and H. Tong, and C. Wang, and T. Yang, and D. Wang, and S. Liang",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:35 PM",,,,,,,,Henry,IEEE,Eiffel: Evolutionary Flow Map for Influence Graph Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8673661,IEEE Transactions on Visualization and Computer Graphics,,,2020,,
10.1109/TEMSCON-EUR52034.2021.9488644,,,,,,"M. Novak, and M. S. Joy, and O. M. Mirza",,Henry,IEEE Technology & Engineering Management Conference - Europe,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 3:02 PM",,,,,,,,Henry,IEEE,Improved plagiarism detection with collaboration network visualization based on source-code similarity,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9488644,2021 IEEE Technology & Engineering Management Conference - Europe (TEMSCON-EUR),,,2021,,
10.1109/TVCG.2018.2811488,,,,,,"C. Nobre, and N. Gehlenborg, and H. Coon, and A. Lex",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:44 PM",,,,,,,,Sara,IEEE,Lineage: Visualizing Multivariate Clinical Data in Genealogy Graphs,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8307265,IEEE Transactions on Visualization and Computer Graphics,,,2019,,
10.1109/TVCG.2019.2933196,,,,,,"P. Valdivia, and P. Buono, and C. Plaisant, and N. Dufournaud, and J. -D. Fekete",,Diana,IEEE Transactions on Visualization and Computer Graphics,,,No,,No,,,,,No,,No,Diana Marin,"August 27, 2025 9:15 PM",,,,,,,,Henry,IEEE,Analyzing Dynamic Hypergraphs with Parallel Aggregated Ordered Hypergraph Visualization,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789484,IEEE Transactions on Visualization and Computer Graphics,,,2021,,
10.1109/IV51561.2020.00097,,,,,,D. Rodighiero,,Henry,International Conference Information Visualisation,,,No,,No,,,,,No,,No,Henry Ehlers,"August 27, 2025 11:14 AM",,,,,,,,Henry,IEEE,"Drawing Network Visualizations on a Continuous, Spherical Surface",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373218,2020 24th International Conference Information Visualisation (IV),,,2020,,
